Filtering the log data using "process == "Voxa""
Timestamp                       Thread     Type        Activity             PID    TTL  
2026-04-08 00:31:22.129930-0500 0x6d75cf   Debug       0x0                  48909  0    Voxa: (LaunchServices) [com.apple.launchservices:cas] _LSCopyApplicationInformationItem(sessionID=-2 asn=ASN:0x0-0x2: keyRef="ApplicationType")
2026-04-08 00:31:22.130107-0500 0x6d75cf   Debug       0x0                  48909  0    Voxa: (LaunchServices) [com.apple.launchservices:cas] _LSCopyApplicationInformationItem(sessionID=-2 asn=ASN:0x0-0x2: keyRef="ApplicationType")
2026-04-08 00:31:22.130159-0500 0x6d75cf   Debug       0x0                  48909  0    Voxa: (LaunchServices) [com.apple.launchservices:cas] _LSCopyApplicationInformationItem(sessionID=-2 asn=ASN:0x0-0x2: keyRef="ApplicationType")
2026-04-08 00:31:22.130188-0500 0x6d75cf   Debug       0x0                  48909  0    Voxa: (LaunchServices) [com.apple.launchservices:cas] _LSCopyApplicationInformationItem(sessionID=-2 asn=ASN:0x0-0x2: keyRef="ApplicationType")
2026-04-08 00:31:22.130199-0500 0x6d75cf   Debug       0x0                  48909  0    Voxa: (LaunchServices) [com.apple.launchservices:cas] _LSCopyApplicationInformationItem(sessionID=-2 asn=ASN:0x0-0x2: keyRef="ApplicationType")
2026-04-08 00:31:22.130688-0500 0x6d75cf   Debug       0x0                  48909  0    Voxa: (CoreFoundation) [com.apple.defaults:User Defaults] found no value for key increaseContrast in CFPrefsSearchListSource<0xab0c72180> (Domain: com.apple.universalaccess, Container: (null) Non-launch persona: 0)
2026-04-08 00:31:22.130708-0500 0x6d75cf   Debug       0x0                  48909  0    Voxa: (CoreFoundation) [com.apple.defaults:User Defaults] found no value for key increaseContrast in CFPrefsSearchListSource<0xab0c72180> (Domain: com.apple.universalaccess, Container: (null) Non-launch persona: 0)
2026-04-08 00:31:22.130775-0500 0x6d75cf   Debug       0x0                  48909  0    Voxa: (LaunchServices) [com.apple.launchservices:cas] _LSCopyApplicationInformationItem(sessionID=-2 asn=ASN:0x0-0x2: keyRef="ApplicationType")
2026-04-08 00:31:22.130787-0500 0x6d75cf   Debug       0x0                  48909  0    Voxa: (LaunchServices) [com.apple.launchservices:cas] _LSCopyApplicationInformationItem(sessionID=-2 asn=ASN:0x0-0x2: keyRef="ApplicationType")
2026-04-08 00:31:22.130795-0500 0x6d75cf   Debug       0x0                  48909  0    Voxa: (LaunchServices) [com.apple.launchservices:cas] _LSCopyApplicationInformationItem(sessionID=-2 asn=ASN:0x0-0x2: keyRef="ApplicationType")
2026-04-08 00:31:22.130801-0500 0x6d75cf   Debug       0x0                  48909  0    Voxa: (LaunchServices) [com.apple.launchservices:cas] _LSCopyApplicationInformationItem(sessionID=-2 asn=ASN:0x0-0x2: keyRef="ApplicationType")
2026-04-08 00:31:22.130837-0500 0x6d75cf   Debug       0x0                  48909  0    Voxa: (HIServices) [com.apple.hiservices:processmgr] GetFrontProcess(), psn=0x0,0x15c35c2 result=0
2026-04-08 00:31:22.130882-0500 0x6d75cf   Debug       0x0                  48909  0    Voxa: (CoreFoundation) [com.apple.defaults:User Defaults] found no value for key increaseContrast in CFPrefsSearchListSource<0xab0c72180> (Domain: com.apple.universalaccess, Container: (null) Non-launch persona: 0)
